COUNTYNAME,2010Votes,2010Votes_R,2010Votes_DFL,2012Votes,2012Votes_R,2012Votes_DFL,2014Votes,2014Votes_R,2014Votes_DFL,2016Votes,2016Votes_R,2016Votes_DFL,Total2010,Male2010,Female2010,Total2012,Male2012,Female2012,Total2014,Male2014,Female2014,Total2016,Male2016,Female2016,2010FemaleProp,2012FemaleProp,2014FemaleProp,2016FemaleProp,2010Turnout,2012Turnout,2014Turnout,2016Turnout,2010Turnout_R,2012Turnout_R,2014Turnout_R,2016Turnout_R,2010Turnout_DFL,2012Turnout_DFL,2014Turnout_DFL,2016Turnout_DFL,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race)
Aitkin,7425,3682,3210,9219,4533,4412,7307,3200,3788,9316,5516,3134,13302,6712,6590,13265,6710,6555,13146,6633,6513,13129,6598,6531,0.4954142234250489,0.4941575574820957,0.4954358740301232,0.4974483966791074,0.5581867388362652,0.6949868073878628,0.5558344743648258,0.7095742249980959,0.27680048113065703,0.3417263475310969,0.24342005172676098,0.4201386244192246,0.2413170951736581,0.3326045985676592,0.2881484862315533,0.2387082032142585,15722,14937,62,309,52,2,8,352,186,0.9500699656532248,0.0039435186363058145,0.01965398804223381,0.003307467243353263,0.00012721027859051014,0.0005088411143620406,0.02238900903192978,0.01183055590891744
Anoka,131703,66315,53350,187085,93430,88614,118274,57906,55410,187070,93339,75500,245641,121799,123842,252160,125101,127059,258493,128262,130231,263437,130898,132539,0.5041585077409716,0.5038824555837563,0.5038086137729068,0.5031145966587837,0.5361604943800099,0.7419297271573604,0.4575520420282174,0.7101128543067223,0.2699671471781991,0.3705187182741117,0.2240138030817082,0.35431241625132387,0.2171868702700282,0.3514197335025381,0.2143578356087012,0.28659603624395963,341249,291633,17750,2246,14142,107,5092,10279,13847,0.8546047021383213,0.05201480443898737,0.006581704268730458,0.041441879683163915,0.0003135540323927689,0.014921655448074571,0.030121699990329643,0.04057740828544552
Becker,11904,4487,6579,16471,9204,6829,12124,5941,5396,17375,10880,5208,24543,12282,12261,24839,12378,12461,25065,12496,12569,25494,12686,12808,0.4995721794401662,0.5016707596924191,0.5014562138440056,0.5023927198556523,0.48502628040581836,0.6631104311767785,0.4837023738280471,0.6815329097042442,0.18282198590229393,0.37054631828978624,0.23702373828047077,0.4267670824507727,0.2680601393472681,0.27493055275977296,0.21528027129463395,0.2042833607907743,33375,29299,154,2517,165,10,118,1112,587,0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445686,0.033318352059925095,0.01758801498127341
Beltrami,16187,6344,8624,22189,9637,11818,15567,6456,8252,21718,10783,8688,33417,16489,16928,33757,16669,17088,34045,16787,17258,34331,16915,17416,0.506568513032289,0.5062061202121042,0.5069173153179615,0.5072966123911333,0.4843941706317144,0.6573155197440531,0.4572477603172272,0.6326060994436515,0.1898434928329892,0.2854815297567912,0.1896313702452636,0.3140893070402843,0.2580722386809109,0.3500903516307729,0.2423850785724776,0.25306574233200313,45644,33600,416,9621,391,48,111,1457,945,0.7361318026465691,0.009114012794671807,0.2107834545613881,0.008566295679607394,0.0010516168609236698,0.0024318639908859872,0.0319209534659539,0.020703706949434755
Benton,13827,6973,5388,19755,10849,8173,13292,6565,5877,20222,12872,5640,28950,14409,14541,29108,14491,14617,29392,14707,14685,29529,14744,14785,0.502279792746114,0.5021643534423527,0.49962574850299396,0.5006942327881067,0.47761658031088083,0.6786794008519994,0.45223189983669027,0.6848183141996004,0.24086355785837651,0.3727154046997389,0.2233600979858465,0.4359104609028413,0.1861139896373057,0.28078191562457055,0.19995236799129015,0.19099867926445188,39457,37032,1046,167,437,0,32,743,791,0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.01883062574448133,0.020047139924474745
Big Stone,2233,736,1304,2816,1385,1345,2161,851,1166,2790,1608,921,4173,2024,2149,4058,1973,2085,4027,1985,2042,3967,1954,2013,0.5149772346034028,0.5137999014292755,0.507077228706233,0.5074363498865642,0.5351066379103763,0.6939379004435683,0.5366277626024336,0.7033022435089489,0.1763719146896717,0.3413011335633317,0.21132356592997267,0.4053440887320393,0.3124850227653966,0.33144406111384916,0.28954556741991555,0.23216536425510462,5098,5038,9,0,0,0,4,47,64,0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328
Blue Earth,22565,8584,12539,34463,14916,18164,20201,8194,10866,33816,15667,14428,51651,25886,25765,52236,26183,26053,52396,26215,26181,53151,26588,26563,0.4988286770827283,0.4987556474462057,0.4996755477517368,0.4997648209817313,0.43687440707827535,0.6597557240217474,0.38554469806855485,0.6362250945419653,0.16619232928694508,0.28555019526763153,0.15638598366287504,0.29476397433726553,0.24276393487057366,0.34772953518646144,0.20738224291930682,0.27145303004647137,65524,60046,2166,263,1347,8,297,1397,2016,0.9163970453574264,0.033056589951773394,0.004013796471521885,0.02055735303095049,0.0001220926683352665,0.004532690311946768,0.02132043220804591,0.03076735242048715
Brown,10517,5104,4633,14030,7938,5630,9394,4657,4270,13925,8708,3763,20168,9831,10337,19914,9735,10179,19742,9661,10081,19673,9597,10076,0.5125446251487505,0.5111479361253389,0.5106372201398035,0.5121740456463173,0.5214696548988497,0.7045294767500251,0.47583831425387496,0.7078229044883851,0.25307417691392303,0.3986140403736065,0.23589301995745113,0.442637116860672,0.22972034906783023,0.28271567741287534,0.21629014284267045,0.19127738524881818,25327,24587,57,56,166,15,238,208,987,0.9707821692265172,0.002250562640660165,0.002211079085560864,0.006554270146483989,0.0005922533264895171,0.00939708611363367,0.008212579460654637,0.038970268883010216
Carlton,13780,5750,7352,18545,6586,11389,13970,4666,8633,18374,8160,8460,27070,14110,12960,27144,14197,12947,27266,14302,12964,27469,14416,13053,0.4787587735500554,0.4769746536987916,0.4754639477737842,0.47519021442353204,0.5090506095308459,0.6832080754494547,0.5123597153964644,0.6688994866940915,0.2124122644994459,0.2426318891836133,0.17112887845668598,0.29706214277913284,0.27159216845216105,0.4195770704391394,0.3166214332868774,0.30798354508718917,35482,31710,525,1838,216,7,63,1123,590,0.8936925765176709,0.014796234710557462,0.051800913139056416,0.0060875937094865004,0.00019728312947409955,0.0017755481652668961,0.031649850628487686,0.016628149484245534
Carver,37198,25886,10650,53079,31155,20745,37124,21323,14424,56156,29056,21508,64164,31495,32669,66866,32836,34030,70240,34562,35678,72940,35839,37101,0.5091484321426345,0.5089283043699339,0.5079441913439635,0.5086509459829998,0.5797331837167259,0.7938115036042234,0.5285307517084282,0.7698930627913353,0.40343494794588863,0.46593186372745493,0.3035734624145786,0.3983548121743899,0.16598092388255095,0.3102473603924266,0.20535307517084284,0.2948724979435152,97143,90204,1388,135,2672,75,534,2135,3927,0.9285692226923196,0.014288214282037819,0.0013897038386708257,0.027505841903173667,0.0007720576881504586,0.005497050739631265,0.021977908856016387,0.04042494055155802
